"JuhtumId","ToimKpv","ToimKell","ToimNadalapaev","ToimLoppKpv","ToimLoppKell","SyndmusLiik","SyndmusTaiendavStatLiik","SissetungimiseLiik","Valve","Seadus","Paragrahv","ParagrahvTais","Loige","Punkt","RikutudOigusnorm","Kahjusumma","KohtLiik","MaakondNimetus","ValdLinnNimetus","KohtNimetus","Lest_X_1","Lest_X_2","Lest_Y_1","Lest_Y_2","SoidukLiik","SoidukMark","SoidukVlAasta","SyyteoLiik","L-EST","Coord_X","Coord_Y"
"b613fa7a-0e92-18d6-a4bc-97886cf239c4","2018-08-15","09:00","Kolmapäev","2018-08-18","09:00","MUU,VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","737500","737999","","",NA,"VT","6589749.5,737749.5",59.37895777,28.18527646
"b613e8e6-0e92-18d6-a4bc-97886cf239c4","2018-08-13","12:00","Esmaspäev","2018-08-13","13:37","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590500","6590999","736500","736999","","",NA,"KT","6590749.5,736749.5",59.38847542,28.16881077
"da9210aa-005c-18d7-848e-e2a32f181fb3","2018-07-30","","Esmaspäev","2018-09-03","","MUU","MUU_VALDUS","","","Karistusseadustik","§ 201.","§ 201. Omastamine","lg. 2.",NA,"","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","737500","737999","","",NA,"KT","6589749.5,737749.5",59.37895777,28.18527646
"13561ca4-fde5-18d5-a4bc-97886cf239c4","2018-07-28","","Laupäev  ","2018-07-29","","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","5000-49999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","737500","737999","","",NA,"KT","6589749.5,737749.5",59.37895777,28.18527646
"28775a1a-ed52-18d5-a4bc-97886cf239c4","2018-07-12","10:00","Neljapäev","2018-07-12","16:00","VARGUS","MUU_VARGUS","AKEN_LAHTI","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","736500","736999","","",NA,"KT","6589749.5,736749.5",59.37951632,28.1677181
"88cdfffc-e327-18d5-a4bc-97886cf239c4","2018-07-04","03:00","Kolmapäev","2018-07-04","14:00","VARGUS","MOBIILTELEFONIVARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","738000","738499","","",NA,"KT","6589249.5,738249.5",59.37419816,28.19350587
"b1f6d530-e7d1-18d5-a4bc-97886cf239c4","2018-07-01","22:00","Pühapäev","2018-07-02","10:00","VARGUS","MUU_VARGUS","UKS_LUKUSTAMATA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588500","6588999","738000","738499","","",NA,"KT","6588749.5,738249.5",59.3697187,28.19295646
"88cdfa5c-e327-18d5-a4bc-97886cf239c4","2018-07-01","20:00","Pühapäev","","","PISIVARGUS","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 199 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588500","6588999","737500","737999","","",NA,"VT","6588749.5,737749.5",59.36999878,28.18417979
"88cdf494-e327-18d5-a4bc-97886cf239c4","2018-06-30","04:10","Laupäev  ","","","MUU,VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","736500","736999","","",NA,"VT","6589749.5,736749.5",59.37951632,28.1677181
"13562974-fde5-18d5-a4bc-97886cf239c4","2018-06-24","","Pühapäev","2018-08-06","","VARGUS","MUU_VARGUS","LEITUD_VOTMEGA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737000","737499","","",NA,"KT","6590249.5,737249.5",59.38371686,28.17704476
